USER_ID,pageview_news_dur,pageview_movies_dur,pageview_news_fre_365,pageview_news_fre_730,pageview_news_fre_1460,pageview_news_fre_2920,pageview_movies_fre_365,pageview_movies_fre_730,pageview_movies_fre_1460,pageview_movies_fre_2920
690,1262,"","","","",1,"","","",""
499,1262,"","","","",1,"","","",""
42,1337,"","","","",1,"","","",""
506,1263,"","","","",1,"","","",""
2,1360,"","","","",1,"","","",""
79,320,"","","",1,1,"","","",""
892,"",1047,"","","","","","","",1
131,1182,"","","","",1,"","","",""
149,978,"","","","",1,"","","",""
962,1263,"","","","",1,"","","",""
365,1263,"","","","",1,"","","",""
999,1361,"","","","",1,"","","",""
529,1359,"","","","",5,"","","",""
118,1191,"","","","",13,"","","",""
573,1355,"","","","",1,"","","",""
571,"",1060,"","","","","","","",1
30,1014,"","","","",1,"","","",""
985,1009,1099,"","",1,8,"","","",3
302,1202,"","","","",1,"","","",""
652,1263,"","","","",1,"","","",""
901,1336,"","","","",10,"","","",""
700,1362,"","","","",1,"","","",""
915,1002,"","","","",1,"","","",""
46,1264,"","","","",1,"","","",""
282,932,"","","","",1,"","","",""
605,1290,"","","","",1,"","","",""
535,1262,"","","","",1,"","","",""
894,1263,"","","","",1,"","","",""
616,1366,"","","","",1,"","","",""
628,1306,"","","","",1,"","","",""
632,1349,"","","",1,9,"","","",""
964,1339,"","","","",1,"","","",""
996,1009,"","","","",1,"","","",""
551,1348,"","","","",1,"","","",""
153,842,"","","","",1,"","","",""
420,1263,"","","","",1,"","","",""
705,1415,"","","","",1,"","","",""
475,1348,"","","","",1,"","","",""
104,320,"","","",1,1,"","","",""
468,275,"","","",1,1,"","","",""
643,1245,"","","","",1,"","","",""
656,1262,"","","","",1,"","","",""
917,1337,"","","","",1,"","","",""
134,1009,"","","",1,12,"","","",""
584,1228,"","","","",1,"","","",""
878,1284,"","","","",1,"","","",""
617,"",1352,"","","","","","","",1
701,1337,"","","","",1,"","","",""
963,1339,"","","","",1,"","","",""
36,1262,"","","","",1,"","","",""
954,1353,"","","","",1,"","","",""
89,320,"","","",1,1,"","","",""
422,1336,"","","","",1,"","","",""
